,0,1,accuracy,macro avg,weighted avg
precision,1.0,0.95,0.9797979797979798,0.975,0.9808080808080808
recall,0.9672131147540983,1.0,0.9797979797979798,0.9836065573770492,0.9797979797979798
f1-score,0.9833333333333333,0.9743589743589743,0.9797979797979798,0.9788461538461538,0.9798886298886299
support,183.0,114.0,0.9797979797979798,297.0,297.0
