,0,1,accuracy,macro avg,weighted avg
precision,1.0,0.926829268292683,0.9696969696969697,0.9634146341463414,0.9719142645971915
recall,0.9508196721311475,1.0,0.9696969696969697,0.9754098360655737,0.9696969696969697
f1-score,0.9747899159663865,0.9620253164556962,0.9696969696969697,0.9684076162110413,0.9698903727198591
support,183.0,114.0,0.9696969696969697,297.0,297.0
