,0,1,accuracy,macro avg,weighted avg
precision,1.0,0.7215189873417721,0.8518518518518519,0.860759493670886,0.8931082981715893
recall,0.7595628415300546,1.0,0.8518518518518519,0.8797814207650273,0.8518518518518519
f1-score,0.8633540372670807,0.8382352941176471,0.8518518518518519,0.850794665692364,0.8537124994925506
support,183.0,114.0,0.8518518518518519,297.0,297.0
