,0,1,accuracy,macro avg,weighted avg
precision,1.0,0.9421487603305785,0.9764309764309764,0.9710743801652892,0.9777944736622423
recall,0.9617486338797814,1.0,0.9764309764309764,0.9808743169398907,0.9764309764309764
f1-score,0.9805013927576601,0.9702127659574468,0.9764309764309764,0.9753570793575534,0.97655222287475
support,183.0,114.0,0.9764309764309764,297.0,297.0
