,0,1,accuracy,macro avg,weighted avg
precision,1.0,0.890625,0.9528619528619529,0.9453125,0.9580176767676768
recall,0.9234972677595629,1.0,0.9528619528619529,0.9617486338797814,0.9528619528619529
f1-score,0.9602272727272727,0.9421487603305785,0.9528619528619529,0.9511880165289256,0.9532880457467233
support,183.0,114.0,0.9528619528619529,297.0,297.0
