,0,1,accuracy,macro avg,weighted avg
precision,1.0,0.9047619047619048,0.9595959595959596,0.9523809523809523,0.9634439634439633
recall,0.9344262295081968,1.0,0.9595959595959596,0.9672131147540983,0.9595959595959596
f1-score,0.9661016949152542,0.95,0.9595959595959596,0.958050847457627,0.9599212463619242
support,183.0,114.0,0.9595959595959596,297.0,297.0
